player_name,team,Position,Match,Minutes played,Successful Actions,Total Actions,Action Efficiency,Best Position
A. Nitzl,Maryland College Park Terrapins,"DMF, LDMF, RB",Maryland College Park Terrapins - Ohio State Buckeyes 1:0,100,48,73,0.6575342465753424,"LCMF, RCMF"
A. Nitzl,Maryland College Park Terrapins,"RB, RDMF",Maryland College Park Terrapins - Ohio State Buckeyes 1:2,110,46,72,0.6388888888888888,"LCMF, RCMF"
A. Nitzl,Maryland College Park Terrapins,"LDMF, RDMF",Maryland College Park Terrapins - Old Dominion Monarchs 1:0,97,79,96,0.8229166666666666,"LCMF, RCMF"
A. Nitzl,Maryland College Park Terrapins,LB,Maryland College Park Terrapins - Pacific Tigers 3:0,100,69,97,0.711340206185567,"LCMF, RCMF"
A. Nitzl,Maryland College Park Terrapins,RB,Maryland College Park Terrapins - Penn State Nittany Lion 1:1,102,78,91,0.8571428571428571,"LCMF, RCMF"
A. Nitzl,Maryland College Park Terrapins,LB,Maryland College Park Terrapins - Penn State Nittany Lion 2:2,127,60,104,0.5769230769230769,"LCMF, RCMF"
A. Nitzl,Maryland College Park Terrapins,"DMF, LB",Maryland College Park Terrapins - Penn State Nittany Lion 3:3,107,50,71,0.704225352112676,"LCMF, RCMF"
A. Nitzl,Maryland College Park Terrapins,LB,Maryland College Park Terrapins - Rutgers Scarlet Knights (P) 1:1,124,83,119,0.6974789915966386,"LCMF, RCMF"
A. Nitzl,Maryland College Park Terrapins,LDMF,Maryland College Park Terrapins - Rutgers Scarlet Knights 0:0,88,72,92,0.782608695652174,"LCMF, RCMF"
A. Nitzl,Maryland College Park Terrapins,"DMF, RDMF",Maryland College Park Terrapins - Rutgers Scarlet Knights 1:2,104,72,99,0.7272727272727273,"LCMF, RCMF"
