player_name,Position,goals,shots,shots_on_target,assists,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,xg,dribbles,successful_dribbles,fouls_drawn,offensive_duels,Goal Accuracy (%),Strengths,Weaknesses
E. Ruiz,"LCB3, RB",0,0,0,0,39,30,6,3,3,1,0.0,1,0,2.0,2.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, xg, successful_dribbles"
E. Ruiz,LCMF,0,0,0,0,2,2,0,0,0,0,0.0,0,0,0.0,0.0,0.0,"goals, shots_on_target, assists, accurate_crosses, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
E. Ruiz,"LCMF, RDMF",0,0,0,0,58,47,5,3,0,0,0.0,2,2,4.0,9.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","shots, crosses, xg"
E. Ruiz,LDMF,0,0,0,0,5,3,0,0,0,0,0.0,0,0,0.0,0.0,0.0,"goals, shots_on_target, assists, accurate_crosses, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
E. Ruiz,RB,0,1,0,0,228,192,20,10,4,1,0.14,7,4,2.0,16.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)",
E. Ruiz,RCB3,0,0,0,0,19,19,3,3,1,1,0.0,0,0,3.0,3.0,0.0,"goals, shots_on_target, assists, long_passes_completed, crosses, accurate_crosses, fouls_drawn, Goal Accuracy (%)","shots, xg, dribbles, successful_dribbles"
E. Ruiz,RDMF,0,2,0,0,68,64,3,2,1,1,0.02,0,0,5.0,15.0,0.0,"goals, shots, shots_on_target, assists, total_passes, total_passes_completed, long_passes_completed, crosses, accurate_crosses, fouls_drawn, offensive_duels, Goal Accuracy (%)","dribbles, successful_dribbles"
E. Ruiz,RWB,0,0,0,0,12,9,3,2,1,0,0.0,0,0,0.0,5.0,0.0,"goals, shots_on_target, assists, long_passes_completed, crosses, accurate_crosses, Goal Accuracy (%)","shots, xg, dribbles, successful_dribbles, fouls_drawn"
E. Wood,GK,0,0,0,0,143,120,58,37,0,0,0.0,0,0,0.0,0.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, Goal Accuracy (%)","shots, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
F. Bell,0,0,0,0,0,7,4,0,0,0,0,0.0,0,0,0.0,1.0,0.0,"goals, shots_on_target, assists, accurate_crosses, Goal Accuracy (%)","shots, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
F. Bell,DMF,0,0,0,0,204,169,26,9,0,0,0.0,14,7,8.0,37.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","shots, crosses, xg"
F. Bell,"DMF, LCMF, RAMF, RCMF",0,1,0,0,25,17,6,2,0,0,0.0,1,0,0.0,7.0,0.0,"goals, shots, shots_on_target, assists, long_passes, long_passes_completed, accurate_crosses, offensive_duels, Goal Accuracy (%)","crosses, xg, successful_dribbles, fouls_drawn"
F. Bell,"DMF, LCMF, RCMF",0,0,0,0,54,37,8,2,1,0,0.0,3,1,3.0,11.0,0.0,"goals, shots_on_target, assists, total_passes, total_passes_completed, long_passes, long_passes_completed, crosses, accurate_crosses, dribbles, successful_dribbles, fouls_drawn, offensive_duels, Goal Accuracy (%)","shots, xg"
F. Bell,"DMF, LCMF3",0,0,0,0,34,29,5,3,0,0,0.0,0,0,0.0,0.0,0.0,"goals, shots_on_target, assists, total_passes_completed, long_passes, long_passes_completed, accurate_crosses, Goal Accuracy (%)","shots, crosses, xg, dribbles, successful_dribbles, fouls_drawn, offensive_duels"
F. Bell,"DMF, LDMF, RAMF, RCMF",0,0,0,0,19,14,3,2,1,0,0.0,2,2,0.0,3.0,0.0,"goals, shots_on_target, assists, long_passes_completed, crosses, accurate_crosses, successful_dribbles, Goal Accuracy (%)","shots, xg, fouls_drawn"
